alkylated DNA	REACTION1
REACTION3418	1-(beta-D ribofuranosyl)nicotinamide
ferricytochrome b5	REACTION3419
NADH	REACTION3419
REACTION3419	ferrocytochrome b5
REACTION3419	NAD+
glutathione	REACTION3420
RX	REACTION3420
REACTION3420	glutathione-toxin conjugate
REACTION3420	HX
2-methylbutanol	REACTION3421
NAD+	REACTION3421
REACTION3421	2-methylbutanal
REACTION3421	NADH
D-myo-inositol 1,3,4,5,6-pentakisphosphate	REACTION3422
ATP	REACTION3422
REACTION3422	diphospho-1D-myo-inositol tetrakisphosphate
REACTION3422	ADP
glycerol	REACTION3423
ATP	REACTION3423
REACTION3423	sn-glycerol 3-phosphate
REACTION3423	ADP
D-myo-inositol (1,3,4)-trisphosphate	REACTION3424
ATP	REACTION3424
REACTION3424	D-myo-inositol (1,3,4,5)-tetrakisphosphate
REACTION3424	ADP
uridine	REACTION3425
GTP	REACTION3425
REACTION3425	UMP
REACTION3425	GDP
peptidylproline (omega = 180)	REACTION3426
REACTION3426	peptidylproline (omega = 0)
[histone]-L-lysine	REACTION3427
acetyl-CoA	REACTION3427
REACTION3427	[histone]-N6-acetyl-L-lysine
REACTION3427	coenzyme A
N-acetyl-4-O-acetylneuraminate	REACTION3428
REACTION3428	N-acetylneuraminate
REACTION3428	acetate
ethanolamine	REACTION3429
ATP	REACTION3429
REACTION3429	phosphoryl-ethanolamine
REACTION3429	ADP
polypeptide	REACTION3430
REACTION3430	polypeptide
UDP-alpha-D-galactose	REACTION3431
N-acetyl-beta-D-glucosamine	REACTION3431
REACTION3431	beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosamine
REACTION3431	UDP
glutathione	REACTION3432
RX	REACTION3432
REACTION3432	glutathione-toxin conjugate
REACTION3432	HX
dTDP	REACTION3433
ATP	REACTION3433
REACTION3433	dTTP
REACTION3433	ADP
glutathione	REACTION3434
RX	REACTION3434
REACTION3434	glutathione-toxin conjugate
REACTION3434	HX
1-O-methylsalicylate	REACTION3435
REACTION3435	salicylate
REACTION3435	methanol
1D-myo-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate	REACTION3436
REACTION3436	1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate
REACTION3436	phosphate
[protein]-L-tyrosine phosphate	REACTION3437
REACTION3437	[protein]-L-tyrosine
REACTION3437	phosphate
[protein]-(L-serine/L-threonine)	REACTION3438
ATP	REACTION3438
REACTION3438	[protein] (L-serine/L-threonine) phosphate
REACTION3438	ADP
reduced c-type cytochrome	REACTION3439
REACTION3439	oxidized c-type cytochrome
triglyceride	REACTION3440
REACTION3440	1,2-diglyceride
REACTION3440	fatty acid
GDP-beta-L-fucose	REACTION3441
[protein]-L-serine	REACTION3441
REACTION3441	GDP
REACTION3441	[protein]-3-O-L-fucosyl-L-serine
glycine	REACTION3442
L-arginine	REACTION3442
REACTION3442	guanidinoacetate
REACTION3442	L-ornithine
[protein]-(L-serine/L-threonine)	REACTION3443
ATP	REACTION3443
REACTION3443	[protein] (L-serine/L-threonine) phosphate
REACTION3443	ADP
nitrile	REACTION3444
REACTION3444	carboxylate
REACTION3444	ammonium
protein	REACTION3445
REACTION3445	peptide
REACTION3445	peptide
[protein]-(L-serine/L-threonine)	REACTION3446
ATP	REACTION3446
REACTION3446	[protein] (L-serine/L-threonine) phosphate
REACTION3446	ADP
reduced thioredoxin	REACTION3447
organic hydroperoxide	REACTION3447
REACTION3447	oxidized thioredoxin
REACTION3447	alcohol
glutaryl-CoA	REACTION3448
oxidized electron-transfer flavoprotein	REACTION3448
REACTION3448	(E)-glutaconyl-CoA
REACTION3448	reduced electron-transfer flavoprotein
polycistronic tRNA precursor	REACTION3449
REACTION3449	tRNA precursor with a 5' extension and a long 3' trailer
REACTION3449	partially processed polycistronic tRNA precursor
5-phospho-alpha-D-ribose 1-diphosphate	REACTION3450
REACTION3450	alpha-D-ribose 1,5-bisphosphate
REACTION3450	phosphate
NADH[mitochondrial lumen]	REACTION3451
ubiquinone[mitochondrial inner membrane]	REACTION3451
REACTION3451	NAD+[mitochondrial lumen]
REACTION3451	ubiquinol[mitochondrial inner membrane]
[histone]-L-lysine	REACTION3452
acetyl-CoA	REACTION3452
REACTION3452	[histone]-N6-acetyl-L-lysine
REACTION3452	coenzyme A
1-alkyl-2-acetyl-sn-glycero-3-phosphocholine	REACTION3453
REACTION3453	acetate
REACTION3453	1-alkyl-2-lyso-sn-glycero-3-phosphocholine
(3S)-2,3-epoxy-2,3-dihydrosqualene	REACTION3454
REACTION3454	lanosterol
(S)-lactate	REACTION3455
NAD+	REACTION3455
REACTION3455	pyruvate
REACTION3455	NADH
bupropion	REACTION3456
reduced flavoprotein	REACTION3456
REACTION3456	hydroxybupropion
REACTION3456	oxidized flavoprotein
peptidylproline (omega = 180)	REACTION3457
REACTION3457	peptidylproline (omega = 0)
N1-acetylspermine	REACTION3458
REACTION3458	spermidine
REACTION3458	3-acetamidopropanal
[protein]-L-methionine	REACTION3459
oxidized thioredoxin	REACTION3459
REACTION3459	protein-L-methionine-(R)-S-oxide
REACTION3459	reduced thioredoxin
nucleoside cyclic 3',5'-monophosphate	REACTION3460
REACTION3460	nucleoside 5'-monophosphate
[protein] (L-serine/L-threonine) phosphate	REACTION3461
REACTION3461	[protein]-(L-serine/L-threonine)
REACTION3461	phosphate
polypeptide	REACTION3462
REACTION3462	polypeptide
ubiquitin C-terminal thioester	REACTION3463
REACTION3463	ubiquitin
REACTION3463	thiol
melatonin	REACTION3464
reduced flavoprotein	REACTION3464
REACTION3464	N-acetyl-serotonin
REACTION3464	oxidized flavoprotein
REACTION3464	formaldehyde
1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate	REACTION3465
ATP	REACTION3465
REACTION3465	3,5-bisdiphosphoinositol-1D-myo-inositol 2,3,4,6-tetrakisphosphate
REACTION3465	ADP
protein	REACTION3466
REACTION3466	peptide
REACTION3466	peptide
phosphatidylcholine	REACTION3467
REACTION3467	1-acyl 2-lyso-phosphatidylcholine
REACTION3467	alpha-linolenate
lauroyl-CoA	REACTION3468
REACTION3468	laurate
REACTION3468	coenzyme A
nucleoside cyclic 3',5'-monophosphate	REACTION3469
REACTION3469	nucleoside 5'-monophosphate
ATP	REACTION3470
[protein]-L-tyrosine	REACTION3470
REACTION3470	ADP
REACTION3470	[protein]-L-tyrosine phosphate
UDP-alpha-D-glucuronate	REACTION3471
beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-[core protein]	REACTION3471
REACTION3471	UDP
REACTION3471	beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-[core protein]
L-1-phosphatidyl-inositol	REACTION3472
UDP-N-acetyl-alpha-D-glucosamine	REACTION3472
REACTION3472	6-(N-acetyl-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol
REACTION3472	UDP
polypeptide	REACTION3473
REACTION3473	polypeptide
REACTION3473	L-amino acid
beta-D-glucose 6-phosphate	REACTION3474
REACTION3474	beta-D-glucose
REACTION3474	phosphate
[protein] (L-serine/L-threonine) phosphate	REACTION3475
REACTION3475	[protein]-(L-serine/L-threonine)
REACTION3475	phosphate
NAD(P)H	REACTION3476
REACTION3476	NAD(P)+
acyl-CoA	REACTION3477
1-acyl 2-lyso-phosphatidylcholine	REACTION3477
REACTION3477	phosphatidylcholine
REACTION3477	coenzyme A
peptide	REACTION3478
REACTION3478	n+1 a dipeptide
NADH	REACTION3479
ubiquinone[inner membrane]	REACTION3479
REACTION3479	NAD+
REACTION3479	ubiquinol[inner membrane]
(R)-mevalonate	REACTION3480
ATP	REACTION3480
REACTION3480	(R)-mevalonate 5-phosphate
REACTION3480	ADP
5,6-dihydroxyindole-2-carboxylate	REACTION3481
REACTION3481	indole-5,6-quinone-2-carboxylate
S-adenosyl-L-methionine	REACTION3482
[histone]-L-arginine	REACTION3482
REACTION3482	S-adenosyl-L-homocysteine
REACTION3482	[histone]-Nomega-methyl-arginine
ATP	REACTION3483
BMP receptor complex	REACTION3483
REACTION3483	ADP
REACTION3483	BMP receptor complex
alpha-D-mannose 1-phosphate	REACTION3484
REACTION3484	alpha-D-mannose 6-phosphate
[protein] (L-serine/L-threonine) phosphate	REACTION3485
REACTION3485	[protein]-(L-serine/L-threonine)
REACTION3485	phosphate
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION3486
[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION3486
REACTION3486	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION3486	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine
cotinine	REACTION3487
reduced flavoprotein	REACTION3487
REACTION3487	trans-3'-hydroxycotinine
REACTION3487	oxidized flavoprotein
[protein]-(L-serine/L-threonine)	REACTION3488
ATP	REACTION3488
REACTION3488	[protein] (L-serine/L-threonine) phosphate
REACTION3488	ADP
collagen	REACTION3489
REACTION3489	peptide
[protein]-(L-serine/L-threonine)	REACTION3490
ATP	REACTION3490
REACTION3490	[protein] (L-serine/L-threonine) phosphate
REACTION3490	ADP
[protein]-(L-serine/L-threonine)	REACTION3491
ATP	REACTION3491
REACTION3491	[protein] (L-serine/L-threonine) phosphate
REACTION3491	ADP
ATP	REACTION3492
protein	REACTION3492
REACTION3492	ADP
REACTION3492	phosphoprotein
mRNA	REACTION3493
REACTION3493	single-stranded RNA
REACTION3493	single-stranded RNA
[heparan sulfate]-alpha-D-N-sulfoglucosamine	REACTION3494
3'-phosphoadenylyl-sulfate	REACTION3494
REACTION3494	[heparan sulfate]-alpha-D-N-sulfoglucosamine 6-O-sulfate
REACTION3494	adenosine 3',5'-bisphosphate
phosphatidylcholine	REACTION3495
REACTION3495	1-acyl 2-lyso-phosphatidylcholine
REACTION3495	fatty acid
UDP-N-acetyl-alpha-D-galactosamine	REACTION3496
[glycoprotein]-(L-serine/L-threonine)	REACTION3496
REACTION3496	N-acetyl-alpha-D-galactosalaminyl-[glycoprotein]
REACTION3496	UDP
[protein]-(L-serine/L-threonine)	REACTION3497
ATP	REACTION3497
REACTION3497	[protein] (L-serine/L-threonine) phosphate
REACTION3497	ADP
phosphoryl-ethanolamine	REACTION3498
CTP	REACTION3498
REACTION3498	CDP-ethanolamine
REACTION3498	diphosphate
S-adenosyl-L-methionine	REACTION3499
REACTION3499	S-adenosyl 3-(methylthio)propylamine
hydrogen carbonate[mitochondrial lumen]	REACTION3500
pyruvate[mitochondrial lumen]	REACTION3500
ATP[mitochondrial lumen]	REACTION3500
REACTION3500	oxaloacetate[mitochondrial lumen]
REACTION3500	ADP[mitochondrial lumen]
REACTION3500	phosphate[mitochondrial lumen]
ATP	REACTION3501
[protein]-L-tyrosine	REACTION3501
REACTION3501	ADP
REACTION3501	[protein]-L-tyrosine phosphate
double stranded DNA	REACTION3502
REACTION3502	5'-phosphooligonucleotide
REACTION3502	5' phosphodinucleotide
prephytoene diphosphate	REACTION3503
REACTION3503	15-cis-phytoene
REACTION3503	diphosphate
RH	REACTION3504
reduced [NADPH-hemoprotein reductase]	REACTION3504
REACTION3504	ROH
REACTION3504	oxidized [NADPH-hemoprotein reductase]
1-ethyladenine	REACTION3505
2-oxoglutarate	REACTION3505
REACTION3505	adenine
REACTION3505	acetaldehyde
REACTION3505	succinate
[protein]-(L-serine/L-threonine)	REACTION3506
ATP	REACTION3506
REACTION3506	[protein] (L-serine/L-threonine) phosphate
REACTION3506	ADP
tRNA precursor with a 5' extension and a long 3' trailer	REACTION3507
REACTION3507	tRNA precursor with a 5' extension and a short 3' extension
REACTION3507	nucleoside 5'-monophosphate
cotinine	REACTION3508
reduced flavoprotein	REACTION3508
REACTION3508	N'-hydroxymethyl-norcotinine
REACTION3508	oxidized flavoprotein
mRNA	REACTION3509
REACTION3509	single-stranded RNA
REACTION3509	single-stranded RNA
dermatan sulfate	REACTION3510
REACTION3510	dermatan sulfate disaccharide
1-phosphatidyl-1D-myo-inositol 4-phosphate	REACTION3511
ATP	REACTION3511
REACTION3511	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate
REACTION3511	ADP
NADH	REACTION3512
unknown oxidized electron acceptor	REACTION3512
REACTION3512	NAD+
REACTION3512	unknown reduced electron acceptor
3',5'-diiodothyronamine	REACTION3513
unknown reduced electron acceptor	REACTION3513
REACTION3513	3'-iodothyronamine
REACTION3513	iodide
REACTION3513	unknown oxidized electron acceptor
phenol sulfate	REACTION3514
REACTION3514	phenol
REACTION3514	sulfate
2-methyl-3-hydroxybutyryl-CoA	REACTION3515
NAD+	REACTION3515
REACTION3515	2-methylacetoacetyl-CoA
REACTION3515	NADH
ATP	REACTION3516
protein	REACTION3516
REACTION3516	ADP
REACTION3516	phosphoprotein
phosphatidylcholine	REACTION3517
REACTION3517	1-acyl 2-lyso-phosphatidylcholine
REACTION3517	alpha-linolenate
sn-glycerol 3-phosphate	REACTION3518
acyl-[acyl-carrier protein]	REACTION3518
REACTION3518	1-acyl-sn-glycerol 3-phosphate
REACTION3518	holo-[acyl-carrier protein]
IMP	REACTION3519
NAD+	REACTION3519
REACTION3519	XMP
REACTION3519	NADH
hydantoin	REACTION3520
REACTION3520	N-carbamoylglycine
2,3,4-saturated fatty acid	REACTION3521
ATP	REACTION3521
coenzyme A	REACTION3521
REACTION3521	2,3,4-saturated fatty acyl CoA
REACTION3521	AMP
REACTION3521	diphosphate
glycolate	REACTION3522
unknown oxidized electron acceptor	REACTION3522
REACTION3522	glyoxylate
REACTION3522	unknown reduced electron acceptor
ATP	REACTION3523
protein	REACTION3523
REACTION3523	ADP
REACTION3523	phosphoprotein
acetyl-CoA[mitochondrial lumen]	REACTION3524
[pyruvate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine[mitochondrial lumen]	REACTION3524
REACTION3524	[pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine[mitochondrial lumen]
REACTION3524	coenzyme A[mitochondrial lumen]
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate	REACTION3526
REACTION3526	1,2-diacyl-sn-glycerol
REACTION3526	D-myo-inositol (1,4,5)-trisphosphate
5-alpha-dihydrotestosterone	REACTION3527
NADP+	REACTION3527
REACTION3527	testosterone
REACTION3527	NADPH
odd numbered straight chain 2,3,4-saturated fatty aldehyde	REACTION3528
NAD+	REACTION3528
REACTION3528	odd numbered straight chain 2,3,4-saturated fatty acid
REACTION3528	NADH
ubiquitin C-terminal thioester	REACTION3529
REACTION3529	ubiquitin
REACTION3529	thiol
L-saccharopine	REACTION3530
NAD+	REACTION3530
REACTION3530	L-glutamate
REACTION3530	(S)-2-amino-6-oxohexanoate
REACTION3530	NADH
sn-glycero-3-phospho-1-inositol	REACTION3531
REACTION3531	myo-inositol
REACTION3531	sn-glycerol 3-phosphate
carboxylic ester	REACTION3532
REACTION3532	alcohol
REACTION3532	carboxylate
[protein]-(L-serine/L-threonine)	REACTION3533
ATP	REACTION3533
REACTION3533	[protein] (L-serine/L-threonine) phosphate
REACTION3533	ADP
protein	REACTION3534
REACTION3534	peptide
REACTION3534	peptide
(9Z,15Z)-12,13-epoxy-octadeca-9,15-dienoate	REACTION3535
REACTION3535	(9Z,15Z)-12,13-dihydroxyoctadeca-9,15-dienoate
ATP	REACTION3536
[protein]-L-serine	REACTION3536
REACTION3536	ADP
REACTION3536	protein L-serine phosphate
[eIF5A-precursor]-N-(4-aminobutylidene)-lysine	REACTION3537
NADH	REACTION3537
REACTION3537	[eIF5A-precursor]-deoxyhypusine
REACTION3537	NAD+
10-formyl-tetrahydropteroyl-[gamma-Glu](n)	REACTION3538
L-glutamate	REACTION3538
ATP	REACTION3538
REACTION3538	10-formyl-tetrahydropteroyl-[gamma-Glu](n+1)
REACTION3538	ADP
REACTION3538	phosphate
dCDP	REACTION3539
ATP	REACTION3539
REACTION3539	dCTP
REACTION3539	ADP
3,3'-diiodothyronine	REACTION3540
unknown reduced electron acceptor	REACTION3540
REACTION3540	3'-monoiodothyronine
REACTION3540	iodide
REACTION3540	unknown oxidized electron acceptor
2-acyl 1-lyso-phosphatidylcholine	REACTION3541
REACTION3541	carboxylate
REACTION3541	sn-glycero-3-phosphocholine
pregn-5-ene-3,20-dione	REACTION3542
REACTION3542	progesterone
NAD+	REACTION3543
e-	REACTION3543
REACTION3543	NADH
NADH[mitochondrial lumen]	REACTION3544
ubiquinone[mitochondrial inner membrane]	REACTION3544
REACTION3544	NAD+[mitochondrial lumen]
REACTION3544	ubiquinol[mitochondrial inner membrane]
N-acetyl-alpha-D-glucosamine 1-phosphate	REACTION3545
REACTION3545	N-acetyl-D-glucosamine 6-phosphate
NADH[mitochondrial lumen]	REACTION3546
ubiquinone[mitochondrial inner membrane]	REACTION3546
REACTION3546	NAD+[mitochondrial lumen]
REACTION3546	ubiquinol[mitochondrial inner membrane]
long-chain fatty acid	REACTION3547
ATP	REACTION3547
coenzyme A	REACTION3547
REACTION3547	long-chain acyl-CoA
REACTION3547	AMP
REACTION3547	diphosphate
N10-formyl-tetrahydrofolate	REACTION3548
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	REACTION3548
REACTION3548	tetrahydrofolate
REACTION3548	5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide
[protein]-(L-serine/L-threonine)	REACTION3549
ATP	REACTION3549
REACTION3549	[protein] (L-serine/L-threonine) phosphate
REACTION3549	ADP
[protein] (L-serine/L-threonine) phosphate	REACTION3550
REACTION3550	[protein]-(L-serine/L-threonine)
REACTION3550	phosphate
hydantoin	REACTION3551
REACTION3551	N-carbamoylglycine
(5Z)-(15S)-11-alpha-hydroxy-9,15-dioxoprostanoate	REACTION3552
NAD(P)+	REACTION3552
REACTION3552	(5Z)-(15S)-11-alpha-hydroxy-9,15-dioxoprosta-13-enoate
REACTION3552	NAD(P)H
NADPH	REACTION3553
electron-transfer quinone	REACTION3553
REACTION3553	NADP+
REACTION3553	electron-transfer quinol
protein	REACTION3554
REACTION3554	peptide
REACTION3554	peptide
polypeptide	REACTION3555
REACTION3555	peptide
REACTION3555	tripeptide
5-alpha-androstan-3alpha,17beta-diol	REACTION3556
NAD(P)+	REACTION3556
REACTION3556	5-alpha-dihydrotestosterone
REACTION3556	NAD(P)H
protein	REACTION3557
REACTION3557	peptide
REACTION3557	peptide
[protein]-(L-serine/L-threonine)	REACTION3558
ATP	REACTION3558
REACTION3558	[protein] (L-serine/L-threonine) phosphate
REACTION3558	ADP
NADH[mitochondrial lumen]	REACTION3559
ubiquinone[mitochondrial inner membrane]	REACTION3559
REACTION3559	NAD+[mitochondrial lumen]
REACTION3559	ubiquinol[mitochondrial inner membrane]
[protein]-L-tyrosine phosphate	REACTION3560
REACTION3560	[protein]-L-tyrosine
REACTION3560	phosphate
glutathione	REACTION3561
RX	REACTION3561
REACTION3561	glutathione-toxin conjugate
REACTION3561	HX
XMP	REACTION3562
REACTION3562	xanthosine
REACTION3562	phosphate
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION3563
[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION3563
REACTION3563	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION3563	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine
[protein]-(L-serine/L-threonine)	REACTION3564
ATP	REACTION3564
REACTION3564	[protein] (L-serine/L-threonine) phosphate
REACTION3564	ADP
[protein]-L-tyrosine phosphate	REACTION3565
REACTION3565	[protein]-L-tyrosine
REACTION3565	phosphate
carbonic acid	REACTION3566
[histone]-L-lysine	REACTION3567
S-adenosyl-L-methionine	REACTION3567
REACTION3567	[histone] N6-methyl-L-lysine
REACTION3567	S-adenosyl-L-homocysteine
3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate	REACTION3568
ATP	REACTION3568
coenzyme A	REACTION3568
REACTION3568	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl-CoA
REACTION3568	AMP
REACTION3568	diphosphate
NADH	REACTION3569
ubiquinone[inner membrane]	REACTION3569
REACTION3569	NAD+
REACTION3569	ubiquinol[inner membrane]
9S rRNA	REACTION3570
REACTION3570	5S rRNA
REACTION3570	single-stranded RNA
all-trans-retinol	REACTION3571
cellular-retinol-binding protein	REACTION3571
REACTION3571	all-trans retinol-[cellular-retinol-binding-protein]
protein	REACTION3572
REACTION3572	peptide
REACTION3572	peptide
glyoxylate	REACTION3573
L-alanine	REACTION3573
REACTION3573	glycine
REACTION3573	pyruvate
[protein]-L-methionine	REACTION3574
oxidized thioredoxin	REACTION3574
REACTION3574	protein-L-methionine-(R)-S-oxide
REACTION3574	reduced thioredoxin
NADH	REACTION3575
unknown oxidized electron acceptor	REACTION3575
REACTION3575	NAD+
REACTION3575	unknown reduced electron acceptor
octanoyl-[acp]	REACTION3576
NADP+	REACTION3576
REACTION3576	trans oct-2-enoyl-[acp]
REACTION3576	NADPH
myristoyl-CoA	REACTION3577
REACTION3577	myristate
REACTION3577	coenzyme A
RNA-DNA hybrid	REACTION3578
REACTION3578	DNA
REACTION3578	nucleoside 5'-monophosphate
RNA-DNA hybrid	REACTION3579
REACTION3579	DNA
REACTION3579	nucleoside 5'-monophosphate
dCDP	REACTION3580
oxidized thioredoxin	REACTION3580
REACTION3580	CDP
REACTION3580	reduced thioredoxin
palmitoyl-CoA	REACTION3581
REACTION3581	palmitate
REACTION3581	coenzyme A
[protein]-L-tyrosine phosphate	REACTION3582
REACTION3582	[protein]-L-tyrosine
REACTION3582	phosphate
peptidylproline (omega = 180)	REACTION3583
REACTION3583	peptidylproline (omega = 0)
DNA with uracil	REACTION3584
REACTION3584	DNA containing an apyrimidinic site
REACTION3584	uracil
3-beta-hydroxyandrost-5-en-17-one 3-sulfate	REACTION3585
REACTION3585	sulfate
REACTION3585	dehydroepiandrosterone
5-alpha-androstan-3alpha,17beta-diol	REACTION3586
NAD(P)+	REACTION3586
REACTION3586	5-alpha-dihydrotestosterone
REACTION3586	NAD(P)H
double stranded DNA	REACTION3587
ATP	REACTION3587
REACTION3587	negatively supercoiled DNA
REACTION3587	ADP
REACTION3587	phosphate
ATP	REACTION3588
protein	REACTION3588
REACTION3588	ADP
REACTION3588	phosphoprotein
UDP-alpha-D-galactose	REACTION3589
beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R	REACTION3589
REACTION3589	alpha-D-galactosyl-(1,3)-beta-D-galactosyl-(1,4)-N-acetyl-D-glucosaminyl-R
REACTION3589	UDP
stearoyl-CoA	REACTION3590
REACTION3590	stearate
REACTION3590	coenzyme A
nucleoside cyclic 3',5'-monophosphate	REACTION3591
REACTION3591	nucleoside 5'-monophosphate
methyl parathion	REACTION3592
REACTION3592	4-nitrophenol
REACTION3592	dimethylthiophosphate
1-phosphatidyl-1D-myo-inositol 4-phosphate	REACTION3593
ATP	REACTION3593
REACTION3593	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate
REACTION3593	ADP
[histone]-L-lysine	REACTION3594
S-adenosyl-L-methionine	REACTION3594
REACTION3594	[histone] N6-methyl-L-lysine
REACTION3594	S-adenosyl-L-homocysteine
ATP	REACTION3595
[protein]-L-tyrosine	REACTION3595
REACTION3595	ADP
REACTION3595	[protein]-L-tyrosine phosphate
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate	REACTION3596
unknown reduced electron acceptor	REACTION3596
REACTION3596	17-hydro(p)docosahexaenoate
REACTION3596	unknown oxidized electron acceptor
deoxyribonucleoside triphosphate	REACTION3597
(deoxynucleotides)(n)	REACTION3597
